0	756	684
1	467	679
2	738	549
3	756	870
4	1431	864
4	1154	1321
4	807	2315
4	833	2657
4	1090	3200
4	676	3187
4	836	3966
4	653	4367
4	1343	2731
4	1835	3017
4	1657	3954
4	1054	5337
4	801	5921
4	560	6682
4	1275	5696
4	1671	5991
4	2248	6298
4	2952	6373
4	3864	6695
4	4554	6443
4	4683	6228
4	5312	6606
4	5484	5946
4	6371	5634
4	5473	3544
4	5944	3339
4	6301	3414
4	6388	1994
4	6410	1584
4	5314	274
5	681	3201
5	691	4360
5	2166	2650
5	2122	2725
5	2284	2962
5	2072	4515
5	2006	4568
5	2385	4629
5	2446	4590
5	2517	4532
5	4157	6730
5	4247	6620
5	4137	6519
5	4234	6449
5	5879	4994
5	5954	4928
5	6016	4866
5	5860	4277
5	5772	4277
5	5715	4277
5	5653	4277
5	5787	797
5	5668	720
5	5813	454
5	5236	917
5	5048	1062
5	4845	996
5	4496	575
5	3457	273
5	3506	779
5	3624	1192
5	2931	1396
5	2715	1326
5	2442	1374
5	2579	1159
5	2799	1269
5	2768	739
5	2099	956
6	1889	2581
6	4502	6283
6	5248	6581
6	5345	6678
6	5940	3412
6	6335	3459
6	6669	260
6	6598	339
6	6598	528
6	6435	528
6	6435	678
6	5076	1082
6	5191	1187
6	4940	1175
6	4760	1039
6	4883	889
6	4427	553
6	3559	162
6	3779	1553
6	3573	1553
6	3534	2464
6	3635	2464
6	3402	2861
6	3151	2857
6	3005	2997
6	2763	2263
6	2648	2263
6	2621	1337
6	2907	1270
6	2331	598
6	2987	394
6	1979	394
6	2045	693
6	2069	1028
7	1255	2924
7	2545	4708
7	4189	6585
7	5720	622
7	5649	767
7	5291	312
7	5256	852
7	4790	976
7	4648	401
7	3628	1181
7	3771	1181
7	3182	2892
7	3116	3033
7	2803	2901
7	2850	2426
7	2005	1524
7	2132	1427
7	2242	1343
7	2428	771
7	2427	907
7	2770	613
7	2915	477
7	1970	553
7	2143	1048
8	2069	510
